name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
jaeger,https://github.com/jaegertracing/jaeger,Go,57,0,187,5,6.3,9,197,281,3.3,437,0.65356
opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,Go,31,0,125,6,22.6,24,442,572,2.2,166,0.65244
kubeadm,https://github.com/kubernetes/kubeadm,Go,50,0,74,7,2,0,86,162,3.2,36086,0.65153
echo,https://github.com/labstack/echo,Go,71,0,208,7,1.8,6,84,139,3.2,762,0.6515
linkerd2,https://github.com/linkerd/linkerd2,Go,37,0,153,4,14.1,58,521,675,1.3,611,0.65101
viper,https://github.com/spf13/viper,Go,82,0,129,12,1.1,4,54,122,2,2689,0.651
gopsutil,https://github.com/shirou/gopsutil,Go,81,0,211,7,2.7,8,69,96,2,960,0.6503
VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,Go,27,0,50,5,27.6,61,188,265,2.9,935,0.64938
caddy,https://github.com/caddyserver/caddy,Go,72,0,77,6,11,22,198,233,2.9,223,0.64837
harbor,https://github.com/goharbor/harbor,Go,60,0,240,2,21,42,728,1158,1.5,228,0.64829
v2ray-core,https://github.com/v2ray/v2ray-core,Go,65,1,97,4,9.6,15,165,194,1.7,5133,0.64815
iris,https://github.com/kataras/iris,Go,60,0,87,5,9.3,9,50,58,3.2,2163,0.64716
felix,https://github.com/projectcalico/felix,Go,79,0,99,7,17.4,35,154,170,1.3,200,0.64593
tyk,https://github.com/TykTechnologies/tyk,Go,81,0,75,6,5.3,20,81,175,2.5,709,0.64591
teleport,https://github.com/gravitational/teleport,Go,71,0,126,3,19.2,56,656,1067,1,380,0.64569
kiali,https://github.com/kiali/kiali,Go,35,0,69,5,9.1,66,294,379,2.7,738,0.64564
govmomi,https://github.com/vmware/govmomi,Go,78,0,176,7,4.5,5,72,139,1.2,1812,0.64496
fzf,https://github.com/junegunn/fzf,Go,87,0,168,4,4.3,5,178,209,2.3,1407,0.6443
agent,https://github.com/buildkite/agent,Go,84,0,101,5,5,12,45,65,2.2,2246,0.64406
logrus,https://github.com/sirupsen/logrus,Go,88,0,279,6,0.7,3,44,69,1.5,5496,0.64395
webrtc,https://github.com/pion/webrtc,Go,32,0,129,12,7.2,4,187,211,2.4,655,0.64383
nuclio,https://github.com/nuclio/nuclio,Go,44,0,60,5,8.8,70,160,179,0.5,8804,0.64357
machine,https://github.com/docker/machine,Go,74,16,380,12,0,12,20,62,1.7,34251,0.64302
kubermatic,https://github.com/kubermatic/kubermatic,Go,60,0,67,5,14.3,60,448,600,2.8,142,0.6426
sys,https://github.com/golang/sys,Go,108,0,194,5,3.8,0,6,13,10.8,1458,0.6424
odo,https://github.com/openshift/odo,Go,36,0,75,5,12.8,19,308,582,4.2,189,0.6419
controller-runtime,https://github.com/kubernetes-sigs/controller-runtime,Go,34,0,165,5,5.4,30,150,254,3.1,273,0.64022
cortex,https://github.com/cortexproject/cortex,Go,55,0,166,5,21.7,23,389,535,1.8,57,0.63903
git-lfs,https://github.com/git-lfs/git-lfs,Go,88,0,182,5,3.3,5,105,140,2,1156,0.63823
lego,https://github.com/go-acme/lego,Go,68,0,235,8,3.1,13,74,94,2,213,0.63784
boulder,https://github.com/letsencrypt/boulder,Go,73,0,105,5,6.7,26,94,130,0.9,1306,0.63692
operator-sdk,https://github.com/operator-framework/operator-sdk,Go,35,0,212,2,17.3,24,432,589,2.2,338,0.63668
gogs,https://github.com/gogs/gogs,Go,84,0,499,5,6.5,4,96,155,1,420,0.63584
kubeedge,https://github.com/kubeedge/kubeedge,Go,27,0,188,10,15.4,8,290,472,2.7,42,0.63572
sarama,https://github.com/Shopify/sarama,Go,91,0,197,7,2.8,9,36,91,1.1,972,0.63389
ddev,https://github.com/drud/ddev,Go,53,0,114,9,6.2,50,177,265,2.7,42,0.63165
mc,https://github.com/minio/mc,Go,72,0,94,2,5.9,40,123,166,1.7,3070,0.63143
testify,https://github.com/stretchr/testify,Go,100,2,208,8,2.3,4,14,54,1.1,8660,0.63114
ceph-csi,https://github.com/ceph/ceph-csi,Go,36,0,81,6,17.7,10,362,478,3.3,128,0.63082
go-libp2p,https://github.com/libp2p/go-libp2p,Go,73,0,83,6,2.9,27,13,45,1.9,1718,0.62888
edgex-go,https://github.com/edgexfoundry/edgex-go,Go,37,0,86,7,6.5,51,264,319,2.1,193,0.6286
hub,https://github.com/github/hub,Go,135,1,244,7,1.7,3,53,85,1.1,2768,0.62821
datadog-agent,https://github.com/DataDog/datadog-agent,Go,60,0,207,3,33.6,36,535,694,0.5,124,0.62786
skipper,https://github.com/zalando/skipper,Go,68,0,124,6,4.2,200,132,185,2.8,93,0.6276
terragrunt,https://github.com/gruntwork-io/terragrunt,Go,56,1,168,8,6.1,68,71,157,2.6,112,0.62751
apiserver,https://github.com/kubernetes/apiserver,Go,49,0,364,5,9.7,151,4,6,0.8,1537,0.62712
go-gitlab,https://github.com/xanzy/go-gitlab,Go,70,0,334,10,7,1,65,74,0.8,537,0.62705
ginkgo,https://github.com/onsi/ginkgo,Go,89,2,130,8,1.1,8,17,42,2.7,3708,0.62658
eksctl,https://github.com/weaveworks/eksctl,Go,32,0,189,6,20.2,61,316,435,1.4,50,0.62642
helmfile,https://github.com/roboll/helmfile,Go,50,0,165,11,4,84,89,175,1.2,109,0.62607
lazygit,https://github.com/jesseduffield/lazygit,Go,32,0,94,5,14.1,43,107,163,1.8,451,0.6254
go-swagger,https://github.com/go-swagger/go-swagger,Go,74,0,265,9,2.3,4,70,131,1.4,302,0.62495
gin,https://github.com/gin-gonic/gin,Go,79,1,303,8,1.5,4,58,150,1.3,1131,0.62479
harmony,https://github.com/harmony-one/harmony,Go,32,0,59,8,20.9,44,135,147,0.7,625,0.62448
go,https://github.com/stellar/go,Go,53,0,99,4,13.8,39,236,318,0.9,478,0.62422
beego,https://github.com/beego/beego,Go,107,0,421,5,6.3,6,606,704,1.1,36,0.62412
protobuf,https://github.com/golang/protobuf,Go,131,2,89,4,0.7,11,46,65,3.1,8071,0.62406
go-dockerclient,https://github.com/fsouza/go-dockerclient,Go,93,0,227,6,1.8,4,10,16,1.1,4594,0.62198
slack,https://github.com/slack-go/slack,Go,72,0,269,9,3.4,11,89,119,0.9,130,0.62125
direnv,https://github.com/direnv/direnv,Go,123,0,127,7,2.3,12,58,94,2.1,183,0.62094
faas,https://github.com/openfaas/faas,Go,49,0,170,8,3.4,19,43,59,1.9,218,0.62072
crypto,https://github.com/golang/crypto,Go,109,0,247,7,1.1,0,11,47,3.1,1809,0.62054
ingress-gce,https://github.com/kubernetes/ingress-gce,Go,59,0,230,2,5.1,12,102,152,2.4,832,0.62052
gorm,https://github.com/go-gorm/gorm,Go,87,0,258,5,10.7,1,381,394,2,117,0.62002
kind,https://github.com/kubernetes-sigs/kind,Go,28,0,165,6,11,4,118,200,4.3,143,0.61984
fasthttp,https://github.com/valyala/fasthttp,Go,63,0,113,9,1.8,14,51,64,2,334,0.61868
flux,https://github.com/fluxcd/flux,Go,54,0,281,8,7.1,7,71,152,1.3,107,0.61827
google-api-go-client,https://github.com/googleapis/google-api-go-client,Go,114,0,75,4,6.4,21,133,153,0.9,675,0.61694
postgres-operator,https://github.com/CrunchyData/postgres-operator,Go,46,0,66,5,14.7,34,286,338,1.7,160,0.61681
go-control-plane,https://github.com/envoyproxy/go-control-plane,Go,39,0,59,10,7.8,7,22,37,3.7,393,0.615
chainlink,https://github.com/smartcontractkit/chainlink,Go,38,0,75,3,70,30,421,453,1.2,138,0.61487
pd,https://github.com/tikv/pd,Go,58,0,118,2,11.6,35,260,348,4.6,61,0.61389
pgx,https://github.com/jackc/pgx,Go,94,0,136,6,2.8,6,47,88,2.4,317,0.61354
torrent,https://github.com/anacrolix/torrent,Go,104,0,62,5,6.2,4,21,36,2,2699,0.61345
mono,https://github.com/mono/mono,C#,238,0,1278,4,22.5,24,403,216,1.6,204151,0.84383
azure-powershell,https://github.com/Azure/azure-powershell,C#,77,0,1363,4,34.2,57,1087,776,2.5,16589,0.82634
runtime,https://github.com/dotnet/runtime,C#,238,0,2306,3,134.2,11,34076,30894,0.6,6541,0.82262
aspnetcore,https://github.com/dotnet/aspnetcore,C#,86,0,978,3,61.4,25,5081,2857,1.8,8028,0.81503
Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,C#,140,0,824,8,33.9,25,3123,2546,0.7,3860,0.80994
roslyn,https://github.com/dotnet/roslyn,C#,82,0,562,2,185,5,2820,1791,1.9,22661,0.78983
azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,C#,110,0,986,2,61.1,881,2773,2069,1.7,2581,0.77953
sdk,https://github.com/dotnet/sdk,C#,64,0,378,3,79.3,26,1485,1160,1.1,11685,0.76656
osu,https://github.com/ppy/osu,C#,78,0,232,4,138.1,69,1329,1069,1.8,3192,0.76582
jellyfin,https://github.com/jellyfin/jellyfin,C#,103,0,617,2,67.3,12,1101,756,1.6,10485,0.76378
PowerShell,https://github.com/PowerShell/PowerShell,C#,71,0,386,3,16.3,22,1215,650,2.9,4030,0.74244
Jackett,https://github.com/Jackett/Jackett,C#,70,0,357,3,49.5,339,1242,1099,2.6,1299,0.74114
Xamarin.Forms,https://github.com/xamarin/Xamarin.Forms,C#,58,0,319,6,20.6,56,2948,840,1.1,1265,0.72726
efcore,https://github.com/dotnet/efcore,C#,84,0,257,2,26.9,20,2617,1864,1.4,4230,0.72054
gitextensions,https://github.com/gitextensions/gitextensions,C#,147,0,442,5,11.5,6,330,230,4.1,821,0.71877
extensions,https://github.com/dotnet/extensions,C#,85,0,303,3,11.3,18,223,207,1.8,8493,0.71065
xamarin-macios,https://github.com/xamarin/xamarin-macios,C#,57,0,113,4,43.9,58,713,576,2.9,1447,0.71056
OpenRA,https://github.com/OpenRA/OpenRA,C#,165,0,363,4,19.5,9,526,319,2.3,1047,0.71053
abp,https://github.com/abpframework/abp,C#,49,0,196,2,124.5,48,1433,1193,1.3,1761,0.70542
IdentityServer4,https://github.com/IdentityServer/IdentityServer4,C#,62,1,283,9,8.2,15,770,735,1.6,1588,0.70514
Dnn.Platform,https://github.com/dnnsoftware/Dnn.Platform,C#,90,0,217,11,16.1,11,487,344,1.8,280,0.69765
Dynamo,https://github.com/DynamoDS/Dynamo,C#,112,0,151,4,9.1,11,267,229,2.1,5601,0.69638
aws-sdk-net,https://github.com/aws/aws-sdk-net,C#,109,0,119,4,31.6,140,238,122,1.6,2206,0.69434
aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,C#,90,0,190,5,8.9,26,248,199,1.6,1736,0.69053
Avalonia,https://github.com/AvaloniaUI/Avalonia,C#,86,0,191,4,49.7,18,655,379,2,311,0.68857
ravendb,https://github.com/ravendb/ravendb,C#,162,0,330,6,58.9,1,440,418,0.6,1151,0.68556
installer,https://github.com/dotnet/installer,C#,64,0,301,2,47.4,14,545,518,0.7,3300,0.68295
MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,C#,60,0,156,5,61.9,4,626,340,2.3,796,0.6829
samples,https://github.com/dotnet/samples,C#,68,0,409,6,12,108,195,169,0.4,1019,0.67845
npgsql,https://github.com/npgsql/npgsql,C#,181,0,163,5,7.8,10,344,260,2.7,628,0.67612
GitVersion,https://github.com/GitTools/GitVersion,C#,89,0,260,6,10.5,16,166,106,2.4,316,0.67454
Radarr,https://github.com/Radarr/Radarr,C#,125,0,237,3,22.7,4,5172,4951,0.3,1021,0.67243
WindowsCommunityToolkit,https://github.com/windows-toolkit/WindowsCommunityToolkit,C#,57,0,285,8,27.9,2,354,195,3,211,0.67242
nopCommerce,https://github.com/nopSolutions/nopCommerce,C#,128,0,134,3,17,3,487,236,0.7,16414,0.6722
arcade,https://github.com/dotnet/arcade,C#,53,0,185,3,20.9,0,600,461,1.6,21285,0.66859
uno,https://github.com/unoplatform/uno,C#,32,0,179,5,66.9,9,924,534,3,136,0.66766
elasticsearch-net,https://github.com/elastic/elasticsearch-net,C#,125,0,217,6,7.6,15,204,175,1.2,562,0.66748
moq4,https://github.com/moq/moq4,C#,159,0,108,8,4,7,90,76,2.3,1868,0.66646
osu-framework,https://github.com/ppy/osu-framework,C#,53,0,112,4,43.5,110,315,207,1.3,944,0.66567
WalletWasabi,https://github.com/zkSNACKs/WalletWasabi,C#,58,0,69,7,97.1,8,673,560,1.5,279,0.66534
MvvmCross,https://github.com/MvvmCross/MvvmCross,C#,111,0,391,8,3.3,4,502,449,0.4,897,0.66344
Essentials,https://github.com/xamarin/Essentials,C#,35,0,82,8,7.7,17,306,206,2.7,1064,0.66309
CefSharp,https://github.com/cefsharp/CefSharp,C#,123,0,186,4,7.4,15,90,71,3.1,629,0.66298
ImageSharp,https://github.com/SixLabors/ImageSharp,C#,104,0,115,5,19.4,6,111,85,4.1,404,0.65961
shouldly,https://github.com/shouldly/shouldly,C#,133,0,111,3,4.9,5,94,84,1.7,18504,0.65868
BotBuilder-Samples,https://github.com/microsoft/BotBuilder-Samples,C#,52,0,210,4,12.1,13,284,220,1.2,1655,0.6578
NSwag,https://github.com/RicoSuter/NSwag,C#,65,0,195,7,3.7,26,325,116,1.9,323,0.65747
roslyn-analyzers,https://github.com/dotnet/roslyn-analyzers,C#,68,0,138,1,32.1,14,741,477,1.8,2726,0.65591
ShareX,https://github.com/ShareX/ShareX,C#,88,0,219,6,10.8,5,425,165,1.1,747,0.65585
subtitleedit,https://github.com/SubtitleEdit/subtitleedit,C#,124,0,126,3,32.9,7,435,388,1.4,739,0.65537
MahApps.Metro,https://github.com/MahApps/MahApps.Metro,C#,121,0,206,6,7.3,14,150,125,1.4,347,0.65494
btcpayserver,https://github.com/btcpayserver/btcpayserver,C#,41,0,97,6,25.6,23,285,247,3.1,162,0.65476
MassTransit,https://github.com/MassTransit/MassTransit,C#,158,0,299,11,11.6,7,130,126,3.6,15,0.65471
winforms,https://github.com/dotnet/winforms,C#,27,0,118,2,23.2,20,551,412,2.4,2631,0.65461
orleans,https://github.com/dotnet/orleans,C#,73,0,269,5,4.9,20,179,84,2,410,0.65379
EventStore,https://github.com/EventStore/EventStore,C#,101,0,121,4,12.3,259,95,55,1.5,1224,0.65372
wpf,https://github.com/dotnet/wpf,C#,27,0,84,4,20.1,23,445,274,1.2,3493,0.65275
nunit,https://github.com/nunit/nunit,C#,139,0,206,6,3.2,4,121,62,2.6,949,0.65268
ReactiveUI,https://github.com/reactiveui/ReactiveUI,C#,128,0,178,6,4.1,23,682,672,0.2,566,0.65236
akka.net,https://github.com/akkadotnet/akka.net,C#,85,0,237,5,5.9,18,210,111,2,270,0.65041
ILSpy,https://github.com/icsharpcode/ILSpy,C#,161,0,100,4,11.9,11,173,147,0.9,2537,0.64994
NuGet.Client,https://github.com/NuGet/NuGet.Client,C#,81,0,202,4,9.5,40,179,147,1.4,431,0.64904
Graphics,https://github.com/Unity-Technologies/Graphics,C#,93,0,219,2,57.6,31,1239,1141,1,77,0.64784
xunit,https://github.com/xunit/xunit,C#,106,0,118,7,6.4,5,66,33,1.8,1962,0.64778
eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,C#,52,0,166,7,1.5,1,132,106,2.4,7940,0.64777
docfx,https://github.com/dotnet/docfx,C#,67,0,174,2,3.4,16,386,323,7.3,274,0.64747
NServiceBus,https://github.com/Particular/NServiceBus,C#,160,0,135,8,5,17,107,89,0.7,710,0.64693
xamarin-android,https://github.com/xamarin/xamarin-android,C#,58,0,84,2,15.7,26,483,371,1.5,2601,0.64688
rabbitmq-dotnet-client,https://github.com/rabbitmq/rabbitmq-dotnet-client,C#,152,0,107,6,7.9,3,57,35,5.7,425,0.64649
Cosmos,https://github.com/CosmosOS/Cosmos,C#,162,0,143,7,6.2,1,157,107,3.6,376,0.64137
RestSharp,https://github.com/restsharp/RestSharp,C#,135,0,267,7,3,5,76,55,1.9,413,0.64073
google-cloud-dotnet,https://github.com/googleapis/google-cloud-dotnet,C#,68,0,57,4,29.2,400,379,368,2.2,206,0.63868
BizHawk,https://github.com/TASVideos/BizHawk,C#,121,0,120,2,52.8,7,191,86,2.6,413,0.63856
Autofac,https://github.com/autofac/Autofac,C#,160,0,71,7,6,9,47,37,3.8,412,0.63847
NBitcoin,https://github.com/MetacoSA/NBitcoin,C#,82,0,101,8,5.9,112,46,29,2,364,0.63817
msbuild,https://github.com/dotnet/msbuild,C#,71,0,241,3,11.5,5,366,196,1.8,670,0.63722
opentk,https://github.com/opentk/opentk,C#,174,0,125,4,8.1,32,161,140,1.9,191,0.6354
graphql-dotnet,https://github.com/graphql-dotnet/graphql-dotnet,C#,67,0,145,8,5.4,9,235,174,3.2,75,0.63364
NLog,https://github.com/NLog/NLog,C#,199,0,199,2,3.4,8,178,143,2.9,972,0.63363
PnP,https://github.com/pnp/PnP,C#,78,2,175,7,3.5,5,6,1,0.5,163632,0.63338
OrchardCore,https://github.com/OrchardCMS/OrchardCore,C#,74,0,188,7,25.8,1,1209,940,2.5,32,0.63327
botbuilder-dotnet,https://github.com/microsoft/botbuilder-dotnet,C#,42,0,176,3,23.2,4,490,374,1.5,877,0.63039
System.IO.Abstractions,https://github.com/System-IO-Abstractions/System.IO.Abstractions,C#,127,0,122,5,2.1,81,54,49,1.3,985,0.63023
ml-agents,https://github.com/Unity-Technologies/ml-agents,C#,40,0,122,5,19.5,18,347,279,1.1,281,0.62791
duplicati,https://github.com/duplicati/duplicati,C#,153,0,168,2,8.3,13,216,128,1.8,610,0.62777
Dapper,https://github.com/StackExchange/Dapper,C#,119,0,196,8,0.8,6,89,26,1.3,847,0.62602
microsoft-authentication-library-for-dotnet,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet,C#,81,0,77,5,6.4,22,398,257,2.1,166,0.6259
fluentassertions,https://github.com/fluentassertions/fluentassertions,C#,132,1,160,6,4.3,4,92,68,2.8,607,0.62574
Lean,https://github.com/QuantConnect/Lean,C#,74,0,148,1,17.2,45,400,277,0.6,2244,0.62495
EasyNetQ,https://github.com/EasyNetQ/EasyNetQ,C#,118,0,158,9,1.8,32,106,83,2,45,0.62473
XamarinComponents,https://github.com/xamarin/XamarinComponents,C#,72,0,84,9,6.7,98,140,95,1.7,95,0.62422
Sonarr,https://github.com/Sonarr/Sonarr,C#,125,0,152,3,8.2,4,391,313,2.1,321,0.62364
neo,https://github.com/neo-project/neo,C#,68,0,61,8,5.4,3,262,190,3.5,289,0.62228
Newtonsoft.Json,https://github.com/JamesNK/Newtonsoft.Json,C#,162,0,116,8,0.1,5,96,51,1.4,1880,0.62183
fluentmigrator,https://github.com/fluentmigrator/fluentmigrator,C#,146,0,219,9,2.2,8,80,43,2.1,79,0.62171
cake,https://github.com/cake-build/cake,C#,80,0,226,7,3.3,10,180,119,1.2,161,0.62097
FluentValidation,https://github.com/FluentValidation/FluentValidation,C#,134,1,180,7,4,15,170,146,1.3,170,0.62068
CKAN,https://github.com/KSP-CKAN/CKAN,C#,77,0,88,3,5,8,128,104,2.6,1437,0.61905
BenchmarkDotNet,https://github.com/dotnet/BenchmarkDotNet,C#,90,0,149,7,2.3,6,213,147,1.6,270,0.61873
grandnode,https://github.com/grandnode/grandnode,C#,62,0,45,6,28.2,7,114,59,1,1459,0.61855
MonoGame,https://github.com/MonoGame/MonoGame,C#,138,0,401,8,4.5,1,113,67,1.7,96,0.61853
omnisharp-roslyn,https://github.com/OmniSharp/omnisharp-roslyn,C#,74,0,126,5,10,19,161,123,1.7,118,0.61821
MaterialDesignInXamlToolkit,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,72,0,155,9,6,6,174,129,1.3,128,0.61736
sendgrid-csharp,https://github.com/sendgrid/sendgrid-csharp,C#,109,0,111,9,2.3,23,72,51,1.5,116,0.61687
vstest,https://github.com/microsoft/vstest,C#,54,0,89,1,3.2,22,168,112,2,9503,0.61595
WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,C#,97,0,136,4,5.7,1,48,32,1.1,7817,0.61536
Minecraft-Mod-Language-Package,https://github.com/CFPAOrg/Minecraft-Mod-Language-Package,C#,45,0,441,1,43.1,1155,97,86,1.5,179,0.61401
EDDiscovery,https://github.com/EDDiscovery/EDDiscovery,C#,69,0,54,5,8.3,34,62,62,2.8,261,0.61335
boogie,https://github.com/boogie-org/boogie,C#,139,0,141,6,3.4,114,39,36,2.1,89,0.61318
Unigram,https://github.com/UnigramDev/Unigram,C#,56,0,35,6,24.6,9,288,168,1,771,0.61316
AElf,https://github.com/AElfProject/AElf,C#,38,1,63,2,49.7,6,123,112,2.1,5853,0.61274
octokit.net,https://github.com/octokit/octokit.net,C#,106,0,215,8,2,12,44,12,0.9,369,0.61268
peachpie,https://github.com/peachpiecompiler/peachpie,C#,60,0,28,7,26.2,12,57,43,1.8,650,0.61195
nuke,https://github.com/nuke-build/nuke,C#,46,0,77,10,6.2,22,112,77,1.7,109,0.6112
ReportGenerator,https://github.com/danielpalme/ReportGenerator,C#,72,0,40,6,2.8,29,15,15,3.1,1264,0.61111
shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,C#,97,0,83,4,2.7,9,137,129,2.2,677,0.61111
AutoMapper,https://github.com/AutoMapper/AutoMapper,C#,145,2,176,8,3,3,69,66,2.5,407,0.60916
Mirror,https://github.com/vis2k/Mirror,C#,31,0,82,4,35.1,253,276,224,2,82,0.60804
monodevelop,https://github.com/mono/monodevelop,C#,186,11,438,6,2.3,36,43,13,1.2,1466,0.60795
Swashbuckle.AspNetCore,https://github.com/domaindrivendev/Swashbuckle.AspNetCore,C#,70,1,154,6,3,8,196,74,1.2,941,0.60774
Nerdbank.GitVersioning,https://github.com/dotnet/Nerdbank.GitVersioning,C#,68,0,66,5,5.2,19,53,41,3.5,230,0.60724
ServiceStack,https://github.com/ServiceStack/ServiceStack,C#,146,0,308,5,16.7,5,1,1,1,939,0.60659
runner,https://github.com/actions/runner,C#,20,0,48,4,4,24,228,78,1.6,4706,0.6059
Warewolf,https://github.com/Warewolf-ESB/Warewolf,C#,76,0,71,3,37.5,89,1,1,7,178,0.60453
reactive,https://github.com/dotnet/reactive,C#,99,0,74,7,6.4,6,185,159,0.9,306,0.60414
MySqlConnector,https://github.com/mysql-net/MySqlConnector,C#,58,0,48,8,5.4,35,46,38,2.6,140,0.60075
NJsonSchema,https://github.com/RicoSuter/NJsonSchema,C#,74,0,135,6,2.4,191,80,39,1.1,211,0.60012
StackExchange.Redis,https://github.com/StackExchange/StackExchange.Redis,C#,83,1,161,6,2.9,5,132,59,2.2,363,0.60001
CsvHelper,https://github.com/JoshClose/CsvHelper,C#,134,0,69,4,1.9,16,83,48,2.9,272,0.59848
iotedge,https://github.com/Azure/iotedge,C#,46,0,72,4,16.9,19,722,665,0.9,119,0.59797
ApplicationInsights-dotnet,https://github.com/microsoft/ApplicationInsights-dotnet,C#,68,0,86,3,4.8,18,110,45,2.3,441,0.59659
vc-platform,https://github.com/VirtoCommerce/vc-platform,C#,87,0,76,2,8.9,74,95,78,1.4,589,0.59484
AutoFixture,https://github.com/AutoFixture/AutoFixture,C#,133,0,82,10,0.4,4,28,22,2.2,411,0.59405
FASTER,https://github.com/microsoft/FASTER,C#,29,0,41,7,2.6,20,65,61,2.8,600,0.59368
Magick.NET,https://github.com/dlemstra/Magick.NET,C#,95,0,26,5,12.5,23,41,20,3.4,166,0.59344
couchbase-net-client,https://github.com/couchbase/couchbase-net-client,C#,115,0,59,9,6.2,14,3,2,8.3,23,0.59341
FakeItEasy,https://github.com/FakeItEasy/FakeItEasy,C#,132,0,48,5,1.6,6,29,26,5.4,311,0.59206
SkiaSharp,https://github.com/mono/SkiaSharp,C#,62,0,55,6,4.6,25,135,72,2,115,0.59121
stripe-dotnet,https://github.com/stripe/stripe-dotnet,C#,112,0,121,4,7.6,130,67,62,1,86,0.59035
CppSharp,https://github.com/mono/CppSharp,C#,129,0,69,4,8.7,4,174,128,0.9,527,0.59027
PnP-PowerShell,https://github.com/pnp/PnP-PowerShell,C#,66,1,144,10,12.1,18,169,52,1.5,16,0.5902
WebApi,https://github.com/OData/WebApi,C#,107,0,165,6,1.7,3,187,95,1.7,127,0.59004
pythonnet,https://github.com/pythonnet/pythonnet,C#,180,0,91,7,5.4,2,160,117,2.2,71,0.58988
UnitsNet,https://github.com/angularsen/UnitsNet,C#,91,0,132,4,3.4,41,51,36,3.9,29,0.58969
nethermind,https://github.com/NethermindEth/nethermind,C#,41,0,38,6,23.7,142,303,220,0.7,136,0.5893
Eto,https://github.com/picoe/Eto,C#,117,0,51,8,4.5,9,82,60,1.9,87,0.58848
azure-functions-host,https://github.com/Azure/azure-functions-host,C#,64,0,73,3,7.2,62,573,347,1.8,69,0.58813
azure-iot-sdk-csharp,https://github.com/Azure/azure-iot-sdk-csharp,C#,64,0,108,2,7,23,191,162,3.7,56,0.58768
kudu,https://github.com/projectkudu/kudu,C#,116,0,108,5,1.2,5,79,26,1.6,578,0.58737
NuGetGallery,https://github.com/NuGet/NuGetGallery,C#,114,1,145,4,3.9,1,213,167,0.8,1771,0.58697
Prism,https://github.com/PrismLibrary/Prism,C#,71,0,145,7,6.5,3,76,61,1.8,91,0.58693
Bogus,https://github.com/bchavez/Bogus,C#,68,0,50,8,1.4,14,18,15,3.2,296,0.586
templating,https://github.com/dotnet/templating,C#,58,0,97,3,5.9,2,268,193,0.9,2011,0.58585
SharpZipLib,https://github.com/icsharpcode/SharpZipLib,C#,196,0,51,6,1.6,2,105,64,1.4,1352,0.58562
AspNetCore.Diagnostics.HealthChecks,https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks,C#,27,1,106,7,6.6,95,99,58,1.7,176,0.58413
xamarin-forms-samples,https://github.com/xamarin/xamarin-forms-samples,C#,81,0,86,5,3.5,1322,19,12,0.9,586,0.58377
Exceptionless,https://github.com/exceptionless/Exceptionless,C#,84,1,27,4,7.4,16,94,69,3.2,522,0.58373
azure-pipelines-agent,https://github.com/microsoft/azure-pipelines-agent,C#,60,0,185,2,4.2,39,217,112,1.5,140,0.58346
RepoDB,https://github.com/mikependon/RepoDB,C#,33,0,25,6,21.9,14,110,95,2.6,159,0.58304
MQTTnet,https://github.com/chkr1011/MQTTnet,C#,46,0,65,6,4.4,6,84,52,2.9,231,0.58262
MailKit,https://github.com/jstedfast/MailKit,C#,86,0,43,6,3.6,12,49,47,2.6,178,0.58245
ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,C#,63,0,33,3,19.7,71,156,155,0.7,506,0.58187
SimpleInjector,https://github.com/simpleinjector/SimpleInjector,C#,134,0,25,7,2.5,11,61,38,2.8,199,0.58081
YAFNET,https://github.com/YAFNET/YAFNET,C#,210,0,54,7,10.6,11,11,11,4.4,25,0.58076
linq2db,https://github.com/linq2db/linq2db,C#,116,0,107,5,7.5,20,301,209,5.5,0,0.58065
machinelearning,https://github.com/dotnet/machinelearning,C#,32,0,157,2,7.9,3,245,185,2.1,681,0.58062
DryIoc,https://github.com/dadhi/DryIoc,C#,89,0,39,5,6.9,22,54,39,3,72,0.58027
csla,https://github.com/MarimerLLC/csla,C#,217,0,91,8,8,2,158,133,1.1,56,0.5802
libgit2sharp,https://github.com/libgit2/libgit2sharp,C#,122,1,126,5,1.1,4,46,18,1.7,1213,0.58014
efcore.pg,https://github.com/npgsql/efcore.pg,C#,57,0,40,7,4.2,13,145,93,2,124,0.57838
SpecFlow,https://github.com/SpecFlowOSS/SpecFlow,C#,136,0,190,4,3.3,25,516,246,1,10,0.5783
Rubberduck,https://github.com/rubberduck-vba/Rubberduck,C#,75,0,76,1,9.5,89,112,61,1.7,632,0.57807
